stock,sell_p,cash_start,cash_after,position,AO_start,AO_sell,jaw,teeth,lips,ind,date_buy,date_sell
tsla,71.36200103759765,"$10,000",10144.717501126446,142.15853470506832,9.998753401812387,10.104912084691662,62.85026765346107,64.69168642994373,66.65926878602417,367,2018-06-18 00:00:00,2018-06-19 00:00:00
tsla,69.84399871826172,"$10,000",10140.542094194554,145.1884525555259,3.8690812952378195,4.220345665426819,66.3747035703613,67.0996686735821,67.83346017293064,265,2018-01-22 00:00:00,2018-01-23 00:00:00
tsla,71.36200103759765,"$10,000",10146.448535897563,142.18279179912324,9.998753401812387,10.104912084691662,62.85026765346107,64.69168642994373,66.65926878602417,367,2018-06-18 00:00:00,2018-06-19 00:00:00
tsla,71.36200103759765,"$10,000",10067.775221667765,141.08033792891368,9.998753401812387,10.104912084691662,62.85026765346107,64.69168642994373,66.65926878602417,367,2018-06-18 00:00:00,2018-06-19 00:00:00
tsla,67.61240081787109,"$10,000",10261.467614454174,151.76901707862288,3.4225412929759216,4.33797075608198,63.986064710383594,64.05371320468345,64.51464486328919,241,2017-12-14 00:00:00,2017-12-15 00:00:00
tsla,68.01080169677735,"$10,000",10674.58975965207,156.9543292144118,4.33797075608198,5.041676364225495,64.13396983853069,64.41475542082776,65.08883612988916,242,2017-12-15 00:00:00,2017-12-18 00:00:00
tsla,68.72120056152343,"$10,000",10942.517902114023,159.23059860279378,3.3951821271110987,3.480052218717688,65.93864588038352,66.47132965906263,66.9926268456741,263,2018-01-18 00:00:00,2018-01-19 00:00:00
tsla,68.94840240478516,"$10,000",10765.450223799424,156.13777619671546,0.5760069454417476,1.06647750630097,67.07114012980078,67.09367013987547,67.03913362437632,288,2018-02-23 00:00:00,2018-02-26 00:00:00
tsla,69.59720153808594,"$10,000",11018.421928618362,158.31702547104152,1.06647750630097,1.6506184185252408,67.12914714648666,67.297167733208,67.4706031641495,289,2018-02-26 00:00:00,2018-02-27 00:00:00
tsla,70.97080078125,"$10,000",10251.57037523963,144.44772022282189,8.980294205160696,9.998753401812387,62.32344892143748,63.87812729150464,65.55082578965913,366,2018-06-15 00:00:00,2018-06-18 00:00:00
tsla,60.611199951171876,"$10,000",11143.813317031856,183.8573287776725,0.851893862556004,2.0986114726347083,58.90337224680185,58.49309292468716,58.37247432081474,359,2018-06-06 00:00:00,2018-06-07 00:00:00
tsla,70.97080078125,"$10,000",12035.068718047869,169.57775008264315,8.980294205160696,9.998753401812387,62.32344892143748,63.87812729150464,65.55082578965913,366,2018-06-15 00:00:00,2018-06-18 00:00:00
tsla,67.33239974975587,"$10,000",11827.30936611844,175.6555448799569,5.617695011812103,4.854530053980213,65.58910921076269,67.21029121388518,68.12707608656173,377,2018-07-02 00:00:00,2018-07-03 00:00:00
tsla,68.80440063476563,"$10,000",11673.63428175095,169.6640647117631,0.2726352018468532,3.0265644297880243,64.39957308175252,64.10085839462167,63.9292860491131,401,2018-08-06 00:00:00,2018-08-07 00:00:00
tsla,68.80440063476563,"$10,000",11551.494915927335,167.88889677632875,0.2726352018468532,3.0265644297880243,64.39957308175252,64.10085839462167,63.9292860491131,401,2018-08-06 00:00:00,2018-08-07 00:00:00
tsla,68.80440063476563,"$10,000",12222.41977779078,177.64008791633904,0.2726352018468532,3.0265644297880243,64.39957308175252,64.10085839462167,63.9292860491131,401,2018-08-06 00:00:00,2018-08-07 00:00:00
tsla,67.710400390625,"$10,000",10271.789051177353,151.70179162903838,8.72080135345459,9.294618090461285,59.67081162281382,60.67247961727017,62.35247334268727,463,2018-11-01 00:00:00,2018-11-02 00:00:00
tsla,65.91320037841797,"$10,000",10382.582208329011,157.51901210563267,6.44876566494213,7.79995395436007,58.51365681262269,58.73657637767707,59.724369434984986,461,2018-10-30 00:00:00,2018-10-31 00:00:00
tsla,63.960401153564455,"$10,000",10261.312484384041,160.43227214518788,4.707959006814399,6.44876566494213,57.993012826907325,57.78520868769958,58.29526163656571,460,2018-10-29 00:00:00,2018-10-30 00:00:00
tsla,63.960401153564455,"$10,000",10658.858705310833,166.6477775791252,4.707959006814399,6.44876566494213,57.993012826907325,57.78520868769958,58.29526163656571,460,2018-10-29 00:00:00,2018-10-30 00:00:00
tsla,69.13719940185547,"$10,000",10048.368820020167,145.33954089772536,9.353794299854947,9.49905925077551,61.98346124252399,63.91295779886842,66.04327268761001,467,2018-11-07 00:00:00,2018-11-08 00:00:00
tsla,68.43919982910157,"$10,000",12087.118756471313,176.61104727486386,6.818264433916873,5.771970412310431,66.0566787330009,67.76833700417622,68.72686754645206,478,2018-11-23 00:00:00,2018-11-26 00:00:00
tsla,68.68440093994141,"$10,000",13067.609457355673,190.25585545664396,0.10236517962287905,0.44155376658720513,66.45255174833225,66.58268442643471,66.88599687227152,512,2019-01-15 00:00:00,2019-01-16 00:00:00
tsla,68.77799987792969,"$10,000",12896.874489312528,187.51453244064214,0.44155376658720513,0.7721595539766213,66.32569512317163,66.5534738941112,67.04410954005354,513,2019-01-16 00:00:00,2019-01-17 00:00:00
tsla,69.70599975585938,"$10,000",10117.509890604046,145.14546704788611,12.175546354406023,12.149340360304883,61.4378436109307,64.49703781855268,66.56141212079982,723,2019-11-14 00:00:00,2019-11-15 00:00:00
tsla,69.10480041503907,"$10,000",10097.254291049509,146.1150923004775,12.246564079733453,12.175546354406023,60.813702337971826,63.77159317847845,65.82422509667848,722,2019-11-13 00:00:00,2019-11-14 00:00:00
tsla,63.48679962158203,"$10,000",9961.651431987533,156.9090187466485,12.3692289128023,11.967687786326692,54.48958363939156,56.68171699643173,58.880710945378816,713,2019-10-31 00:00:00,2019-11-01 00:00:00
tsla,64.0795997619629,"$10,000",10487.041718592815,163.65647971505953,12.019711516885202,12.3692289128023,53.772956620544726,55.738526582718336,57.73934876473133,712,2019-10-30 00:00:00,2019-10-31 00:00:00
tsla,64.0795997619629,"$10,000",10237.86256714062,159.76789189026314,12.019711516885202,12.3692289128023,53.772956620544726,55.738526582718336,57.73934876473133,712,2019-10-30 00:00:00,2019-10-31 00:00:00
