stock,sell_p,cash_start,cash_after,position,AO_start,AO_sell,jaw,teeth,lips,ind,date_buy,date_sell
aapl,191.60399780273437,"$10,000",9269.307245903605,48.37742088996915,11.507274313533998,14.311981156293086,196.89098358499493,198.64694159644455,200.90352335759164,57,2020-04-17 00:00:00,2020-04-20 00:00:00
aapl,191.60399780273437,"$10,000",9272.985687535873,48.396619036534204,11.507274313533998,14.311981156293086,196.89098358499493,198.64694159644455,200.90352335759164,57,2020-04-17 00:00:00,2020-04-20 00:00:00
aapl,191.44400024414062,"$10,000",10373.444786189106,54.18526970268214,0.11229809031766536,4.597635156968067,194.13387797980886,193.79715291489626,194.048230054793,52,2020-04-09 00:00:00,2020-04-14 00:00:00
aapl,209.4480010986328,"$10,000",10752.944501678896,51.3394467613713,13.681061464197484,6.093669397690718,200.34553213085925,202.55215314855874,204.08116854425467,62,2020-04-24 00:00:00,2020-05-01 00:00:00
aapl,199.71199951171874,"$10,000",10024.193334061947,50.19324506574652,4.632602781407996,2.710201667336861,203.49293302883987,205.0304484726122,206.77641929670557,79,2020-05-19 00:00:00,2020-05-27 00:00:00
aapl,210.8499969482422,"$10,000",10462.358145701735,49.61991129774573,2.0435436024385183,8.715058988683381,206.98042654072557,208.33512993781858,209.145535302194,89,2020-06-03 00:00:00,2020-06-05 00:00:00
aapl,217.90599975585937,"$10,000",10792.982559243932,49.530451531102074,10.678720676197742,12.290803034165322,215.5732646004038,218.8357573711648,220.9794964204445,99,2020-06-17 00:00:00,2020-06-24 00:00:00
aapl,222.49199829101562,"$10,000",10165.857882473678,45.6908920795296,4.283794133803411,28.557809403363393,225.9492643997534,229.71311439340334,232.5119231072713,111,2020-07-06 00:00:00,2020-07-10 00:00:00
aapl,243.87399597167968,"$10,000",11006.534782300774,45.132055750539834,19.89157337861903,13.819367352653956,242.35793908329137,247.5186219483249,250.30461398662902,122,2020-07-21 00:00:00,2020-07-29 00:00:00
aapl,250.31199951171874,"$10,000",9988.74658689072,39.90518475492855,15.552369824577795,10.301253599279079,248.90472774360384,253.3115436851135,255.76094690202643,135,2020-08-07 00:00:00,2020-08-11 00:00:00
aapl,251.2240020751953,"$10,000",9927.526630584181,39.51663276032326,4.1581173616297065,7.71383833043717,256.17626522262236,258.3364315174265,258.6753544530261,142,2020-08-18 00:00:00,2020-08-24 00:00:00
aapl,253.6519989013672,"$10,000",9808.510118556478,38.669161532492105,25.93268127441405,9.966595907772273,271.2056009171892,277.3557191859449,281.2959866219686,154,2020-09-03 00:00:00,2020-09-10 00:00:00
aapl,285.59600219726565,"$10,000",11080.865128782241,38.79909047581315,2.0462977241067506,11.823503023035414,278.7124631495626,280.5857306694317,281.8165797436094,172,2020-09-30 00:00:00,2020-10-06 00:00:00
aapl,281.61199951171875,"$10,000",10331.503587877638,36.687014778458376,17.782189133587963,10.225853504854115,298.58499364146195,303.9583173782143,306.9317137299969,193,2020-10-29 00:00:00,2020-11-03 00:00:00
